full_url,name,stars,price,address,lat,lon,features,rating_text,rating,mark,local,dist_local,dist_baikal,dist_aeroport,dist_railway,dist_beach,meal_type,dist_baikal_meters,url,number_reviews
https://101hotels.com/main/cities/goryachinsk/teremok_13.html,Гостевой дом Теремок на Некрасова,,3600.0,"Горячинск, улица Некрасова",52.97872,108.29153,['АВТОСТОЯНКА'],,,,Горячинск,1.0 км,,,,,,,teremok_13.html,0
https://101hotels.com/main/cities/goryachinsk/teremok_14.html,Теремок на улице Некрасова,,3600.0,"Горячинск, улица Некрасова 1 этаж 3 номер",52.97871,108.29138,['АВТОСТОЯНКА'],,,,Горячинск,1.0 км,,,,,,,teremok_14.html,0
https://101hotels.com/main/cities/gremyachinsk/gostiniy_dvor_10.html,Гостиный Дворъ,,2000.0,"Гремячинск, мкр. Байкальский, 39 А",52.80284,107.97627,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'АВТОСТОЯНКА']",ХОРОШО,8.1,6.0,Гремячинск,,,,,,,,gostiniy_dvor_10.html,0
https://101hotels.com/main/cities/kurma/guest_house_on_baikal.html,Гостевой дом На Байкале,,2800.0,"Курма, ул. 9 Мая, д. 5",53.17835,106.96873,['АВТОСТОЯНКА'],ХОРОШО,8.7,9.0,Курма,300 м,,,,,,,guest_house_on_baikal.html,0
https://101hotels.com/main/cities/kurma/gostevoy_dom_danko.html,Гостевой дом Данко,,7600.0,"Курма, Местность Курма",53.17049,106.95145,['ДЕТСКАЯ ПЛОЩАДКА'],ХОРОШО,8.7,23.0,Курма,1.4 км,,,,,Завтрак,,gostevoy_dom_danko.html,0
https://101hotels.com/main/cities/mangutay/guesthouse_rizhaya_sova.html,Гостевой дом Рыжая сова,,1900.0,"Мангутай, ул. Мира, д. 15",51.60011,103.90627,"['ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'АВТОСТОЯНКА']",ВЕЛИКОЛЕПНО,10.0,3.0,Мангутай,10.6 км,,,,,,,guesthouse_rizhaya_sova.html,0
https://101hotels.com/main/cities/leestvyanka/baykalskiy_domik_guest_house.html,Гостевой дом Байкал,,2000.0,"Листвянка, ул. Чапаева, д. 49a",51.85489,104.87368,"['БАНЯ/САУНА', 'АВТОСТОЯНКА']",ХОРОШО,8.7,61.0,Листвянка,300 м,578 м,58.5 км,4.7 км,,,578.0,baykalskiy_domik_guest_house.html,0
https://101hotels.com/main/cities/leestvyanka/forest_trail.html,Forest trail,,2160.0,"Листвянка, Листвянка ул. Гудина, д. 120 В",51.85529,104.88895,['АВТОСТОЯНКА'],,,,Листвянка,1.1 км,,59.1 км,5.7 км,,,,forest_trail.html,0
https://101hotels.com/main/cities/severobaykalsk/dom_na_baykale_4.html,На Байкале на Громова,,,"Северобайкальск, Gromova, 17",55.62755,109.34198,['АВТОСТОЯНКА'],ПЛОХО,5.9,3.0,Северобайкальск,1.7 км,,,492 м,,,,dom_na_baykale_4.html,0
https://101hotels.com/main/cities/suhaya/villa_20.html,Гостевой дом Villa,,5900.0,"Сухая, ул. Байкальская, д. 106",52.54604,107.11417,"['ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'БАССЕЙН', 'ДЕТСКАЯ ПЛОЩАДКА']",ХОРОШО,8.7,15.0,Сухая,200 м,,,,,Завтрак,,villa_20.html,1
